full_name,bio_url,height,weight,birth_year,height_in,weight_lbs,age_years
"Anderson, Alan",http://www.basketball-reference.com/players/a/anderal01.html,6-6,220,1982,78,220,31
"Bogdanovic, Bojan",http://www.basketball-reference.com/players/b/bogdabo01.html,6-6,205,1992,78,205,21
"Brown, Markel",http://www.basketball-reference.com/players/b/brownma01.html,6-3,185,1974,75,185,39
"Young, Thaddeus",http://www.basketball-reference.com/players/y/youngth01.html,6-8,221,1988,80,221,25
"Williams, Deron",http://www.basketball-reference.com/players/w/willide01.html,6-3,200,1984,75,200,29
"Jack, Jarrett",http://www.basketball-reference.com/players/j/jackja01.html,6-3,200,1983,75,200,30
"Plumlee, Mason",http://www.basketball-reference.com/players/p/plumlma01.html,6-1,245,1990,73,245,23
"Morris, Darius",http://www.basketball-reference.com/players/m/morrida01.html,6-4,190,1991,76,190,22
"Ellington, Wayne",http://www.basketball-reference.com/players/e/ellinwa01.html,6-4,200,1987,76,200,26
"Lin, Jeremy",http://www.basketball-reference.com/players/l/linje01.html,6-3,200,1988,75,200,25
"Hill, Jordan",http://www.basketball-reference.com/players/h/hilljo01.html,6-1,235,1987,73,235,26
"Green, Willie",http://www.basketball-reference.com/players/g/greenwi01.html,6-4,200,1981,76,200,32
"Smart, Marcus",http://www.basketball-reference.com/players/s/smartma01.html,6-4,220,1994,76,220,19
"Young, James",http://www.basketball-reference.com/players/y/youngja01.html,6-6,215,1995,78,215,18
"Jerebko, Jonas",http://www.basketball-reference.com/players/j/jerebjo01.html,6-1,231,1987,73,231,26
"Crowder, Jae",http://www.basketball-reference.com/players/c/crowdja01.html,6-6,235,1990,78,235,23
"Thomas, Isaiah",http://www.basketball-reference.com/players/t/thomais02.html,5-9,195,1989,73,185,24
"Brooks, Aaron",http://www.basketball-reference.com/players/b/brookaa01.html,6-0,161,1985,72,161,28
"Hinrich, Kirk",http://www.basketball-reference.com/players/h/hinriki01.html,6-4,190,1981,76,190,32
