player_name,CLOSEST_DEFENDER
brian roberts,"Anderson, Alan"
brian roberts,"Bogdanovic, Bojan"
brian roberts,"Bogdanovic, Bojan"
brian roberts,"Brown, Markel"
brian roberts,"Young, Thaddeus"
brian roberts,"Williams, Deron"
brian roberts,"Jack, Jarrett"
brian roberts,"Plumlee, Mason"
brian roberts,"Morris, Darius"
brian roberts,"Ellington, Wayne"
brian roberts,"Lin, Jeremy"
brian roberts,"Lin, Jeremy"
brian roberts,"Hill, Jordan"
brian roberts,"Green, Willie"
brian roberts,"Smart, Marcus"
brian roberts,"Young, James"
brian roberts,"Jerebko, Jonas"
brian roberts,"Crowder, Jae"
brian roberts,"Thomas, Isaiah"
brian roberts,"Brooks, Aaron"
brian roberts,"Hinrich, Kirk"
brian roberts,"Gibson, Taj"
brian roberts,"Hinrich, Kirk"
brian roberts,"Gibson, Taj"
brian roberts,"Butler, Jimmy"
brian roberts,"Noah, Joakim"
brian roberts,"Brooks, Aaron"
brian roberts,"Harris, Devin"
brian roberts,"Barea, Jose Juan"
brian roberts,"Barea, Jose Juan"
brian roberts,"Barea, Jose Juan"
brian roberts,"Augustin, D.J."
brian roberts,"Augustin, D.J."
brian roberts,"Augustin, D.J."
brian roberts,"Augustin, D.J."
brian roberts,"Drummond, Andre"
brian roberts,"Augustin, D.J."
brian roberts,"Drummond, Andre"
brian roberts,"Lucas III, John"
brian roberts,"Dinwiddie, Spencer"
brian roberts,"Jerebko, Jonas"
brian roberts,"Miles, CJ"
brian roberts,"Hill, George"
brian roberts,"Watson, CJ"
brian roberts,"Watson, CJ"
brian roberts,"Watson, CJ"
brian roberts,"Whittington, Shayne"
brian roberts,"Watson, CJ"
brian roberts,"West, David"
brian roberts,"Watson, CJ"
brian roberts,"Hill, Solomon"
brian roberts,"Watson, CJ"
brian roberts,"Hill, George"
brian roberts,"Hill, George"
brian roberts,"Hill, George"
brian roberts,"Frazier, Tim"
brian roberts,"Noel, Nerlens"
brian roberts,"Grant, Jerami"
brian roberts,"Frazier, Tim"
brian roberts,"Sampson, JaKarr"
brian roberts,"Frazier, Tim"
brian roberts,"Frazier, Tim"
brian roberts,"Mbah a Moute, Luc"
brian roberts,"Grant, Jerami"
brian roberts,"Frazier, Tim"
brian roberts,"Noel, Nerlens"
brian roberts,"Frazier, Tim"
brian roberts,"Wall, John"
brian roberts,"Wall, John"
brian roberts,"Gortat, Marcin"
brian roberts,"Temple, Garrett"
brian roberts,"Pierce, Paul"
brian roberts,"Wall, John"
brian roberts,"Wall, John"
brian roberts,"Humphries, Kris"
brian roberts,"Temple, Garrett"
brian roberts,"Butler, Rasual"
brian roberts,"Temple, Garrett"
brian roberts,"Porter, Otto"
brian roberts,"Wall, John"
brian roberts,"Wall, John"
brian roberts,"Wall, John"
brian roberts,"Humphries, Kris"
brian roberts,"Wall, John"
brian roberts,"Wall, John"
brian roberts,Nene
brian roberts,"Wall, John"
brian roberts,"Humphries, Kris"
brian roberts,"Temple, Garrett"
brian roberts,"Gortat, Marcin"
brian roberts,"Gallinari, Danilo"
brian roberts,"Nurkic, Jusuf"
brian roberts,"Lawson, Ty"
brian roberts,"Hickson, JJ"
brian roberts,"Lawson, Ty"
brian roberts,"Hickson, JJ"
brian roberts,"Lawson, Ty"
brian roberts,"Parker, Tony"
brian roberts,"Parker, Tony"
brian roberts,"Mills, Patty"
brian roberts,"Duncan, Tim"
brian roberts,"Parker, Tony"
brian roberts,"Parker, Tony"
brian roberts,"Ginobili, Manu"
brian roberts,"Mills, Patty"
brian roberts,"Parker, Tony"
brian roberts,"Parker, Tony"
brian roberts,"Mills, Patty"
brian roberts,"Galloway, Langston"
brian roberts,"Amundson, Lou"
brian roberts,"Galloway, Langston"
brian roberts,"Smith, Jason"
brian roberts,"Galloway, Langston"
brian roberts,"Galloway, Langston"
brian roberts,"Galloway, Langston"
brian roberts,"Smith, Jason"
brian roberts,"Galloway, Langston"
brian roberts,"Irving, Kyrie"
brian roberts,"Irving, Kyrie"
brian roberts,"Thompson, Tristan"
brian roberts,"Miller, Mike"
brian roberts,"Ennis, James"
brian roberts,"Haslem, Udonis"
brian roberts,"Williams, Mo"
brian roberts,"Williams, Mo"
brian roberts,"Young, Thaddeus"
brian roberts,"Williams, Mo"
brian roberts,"Williams, Mo"
brian roberts,"Young, Thaddeus"
brian roberts,"Williams, Mo"
brian roberts,"Williams, Mo"
brian roberts,"Young, Thaddeus"
brian roberts,"LaVine, Zach"
brian roberts,"LaVine, Zach"
brian roberts,"Daniels, Troy"
brian roberts,"Hibbert, Roy"
brian roberts,"Watson, CJ"
brian roberts,"West, David"
brian roberts,"Mahinmi, Ian"
brian roberts,"Sloan, Donald"
brian roberts,"Sloan, Donald"
brian roberts,"Sloan, Donald"
brian roberts,"Watson, CJ"
brian roberts,"Hibbert, Roy"
brian roberts,"Sloan, Donald"
brian roberts,"Rudez, Damjan"
brian roberts,"Rudez, Damjan"
brian roberts,"Joseph, Cory"
brian roberts,"Diaw, Boris"
brian roberts,"Diaw, Boris"
brian roberts,"Parker, Tony"
brian roberts,"Hardaway Jr., Tim"
brian roberts,"Larkin, Shane"
brian roberts,"Calderon, Jose"
brian roberts,"Aldrich, Cole"
brian roberts,"Hardaway Jr., Tim"
brian roberts,"Wear, Travis"
brian roberts,"Larkin, Shane"
brian roberts,"Wear, Travis"
brian roberts,"Williams, Lou"
brian roberts,"Vasquez, Greivis"
brian roberts,"Valanciunas, Jonas"
brian roberts,"Ross, Terrence"
brian roberts,"Ross, Terrence"
brian roberts,"Fredette, Jimmer"
brian roberts,"Fredette, Jimmer"
brian roberts,"Fredette, Jimmer"
brian roberts,"Holiday, Jrue"
brian roberts,"Fredette, Jimmer"
brian roberts,"Olynyk, Kelly"
brian roberts,"Pressey, Phil"
brian roberts,"Ridnour, Luke"
brian roberts,"Oladipo, Victor"
brian roberts,"Oladipo, Victor"
brian roberts,"Vucevic, Nikola"
brian roberts,"Dellavedova, Matthew"
brian roberts,"Dellavedova, Matthew"
brian roberts,"Thompson, Tristan"
brian roberts,"Brewer, Corey"
brian roberts,"Terry, Jason"
brian roberts,"Terry, Jason"
brian roberts,"Smith, Josh"
brian roberts,"Terry, Jason"
brian roberts,"Canaan, Isaiah"
brian roberts,"Canaan, Isaiah"
brian roberts,"Marshall, Kendall"
brian roberts,"Middleton, Khris"
brian roberts,"Dudley, Jared"
brian roberts,"Marshall, Kendall"
brian roberts,"Middleton, Khris"
brian roberts,"Mayo, O.J."
brian roberts,"Mayo, O.J."
brian roberts,"Payton, Elfrid"
brian roberts,"Frye, Channing"
brian roberts,"Payton, Elfrid"
brian roberts,"Collison, Nick"
brian roberts,"Perkins, Kendrick"
brian roberts,"Lamb, Jeremy"
brian roberts,"Jackson, Reggie"
brian roberts,"Jackson, Reggie"
brian roberts,"Jackson, Reggie"
brian roberts,"Jackson, Reggie"
brian roberts,"Smith, Ish"
brian roberts,"Smith, Ish"
brian roberts,"Dudley, Jared"
brian roberts,"Marshall, Kendall"
brian roberts,"Marshall, Kendall"
brian roberts,"Marshall, Kendall"
brian roberts,"Marshall, Kendall"
brian roberts,"Faried, Kenneth"
brian roberts,"Robinson, Nate"
brian roberts,"Robinson, Nate"
brian roberts,"Harris, Gary"
brian roberts,"Nurkic, Jusuf"
brian roberts,"Exum, Dante"
brian roberts,"Burke, Trey"
brian roberts,"Exum, Dante"
brian roberts,"Exum, Dante"
brian roberts,"Wroten, Tony"
brian roberts,"Carter-Williams, Michael"
brian roberts,"Wroten, Tony"
brian roberts,"Thomas, Isaiah"
brian roberts,"Bledsoe, Eric"
brian roberts,"Thomas, Isaiah"
brian roberts,"Thomas, Isaiah"
brian roberts,"Thomas, Isaiah"
brian roberts,"Irving, Kyrie"
brian roberts,"Marion, Shawn"
brian roberts,"Varejao, Anderson"
brian roberts,"Irving, Kyrie"
brian roberts,"James, LeBron"
brian roberts,"James, LeBron"
brian roberts,"Bogdanovic, Bojan"
brian roberts,"Jack, Jarrett"
brian roberts,"Jack, Jarrett"
brian roberts,"Johnson, Joe"
brian roberts,"Bogdanovic, Bojan"
brian roberts,"Williams, Deron"
brian roberts,"Davies, Brandon"
brian roberts,"Udrih, Beno"
brian roberts,"Udrih, Beno"
brian roberts,"Smart, Marcus"
brian roberts,"Olynyk, Kelly"
brian roberts,"Turner, Evan"
brian roberts,"Pressey, Phil"
brian roberts,"Larkin, Shane"
brian roberts,"Larkin, Shane"
brian roberts,"Brooks, Aaron"
brian roberts,"Brooks, Aaron"
brian roberts,"Brooks, Aaron"
brian roberts,"Gasol, Pau"
brian roberts,"Noah, Joakim"
brian roberts,"Hinrich, Kirk"
brian roberts,"Brooks, Aaron"
brian roberts,"Mirotic, Nikola"
brian roberts,"Bazemore, Kent"
brian roberts,"Horford, Al"
brian roberts,"Bazemore, Kent"
brian roberts,"Carroll, DeMarre"
brian roberts,"Carroll, DeMarre"
brian roberts,"Teague, Jeff"
brian roberts,"Curry, Stephen"
brian roberts,"Barnes, Harrison"
brian roberts,"Rush, Brandon"
brian roberts,"Barnes, Harrison"
brian roberts,"Thompson, Klay"
brian roberts,"Barnes, Harrison"
brian roberts,"Speights, Marreese"
brian roberts,"Barnes, Harrison"
brian roberts,"Livingston, Shaun"
brian roberts,"Curry, Stephen"
brian roberts,"Iguodala, Andre"
brian roberts,"Green, Draymond"
brian roberts,"Crawford, Jamal"
brian roberts,"Davis, Glen"
brian roberts,"Farmar, Jordan"
brian roberts,"Redick, JJ"
brian roberts,"Redick, JJ"
brian roberts,"Crawford, Jamal"
brian roberts,"Redick, JJ"
brian roberts,"Paul, Chris"
brian roberts,"Griffin, Blake"
brian roberts,"Napier, Shabazz"
brian roberts,"Napier, Shabazz"
brian roberts,"Napier, Shabazz"
brian roberts,"Napier, Shabazz"
brian roberts,"Napier, Shabazz"
brian roberts,"Payton, Elfrid"
brian roberts,"Ridnour, Luke"
brian roberts,"Harris, Tobias"
brian roberts,"Green, Willie"
brian roberts,"Green, Willie"
brian roberts,"Sloan, Donald"
brian roberts,"Sloan, Donald"
brian roberts,"Stuckey, Rodney"
brian roberts,"Sloan, Donald"
brian roberts,"Stuckey, Rodney"
brian roberts,"Stuckey, Rodney"
brian roberts,"Allen, Lavoy"
brian roberts,"Harris, Devin"
brian roberts,"Harris, Devin"
brian roberts,"Smith, Greg"
brian roberts,"Villanueva, Charlie"
brian roberts,"Livingston, Shaun"
brian roberts,"Barbosa, Leandro"
brian roberts,"Livingston, Shaun"
